"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Cherokee","Cherokee","Cherokee County","45021","SC","South Carolina","35.0481","-81.6206","56647"
"Grady","Grady","Grady County","40051","OK","Oklahoma","35.0169","-97.8841","56606"
"Taney","Taney","Taney County","29213","MO","Missouri","36.6548","-93.0411","56529"
"Hancock","Hancock","Hancock County","23009","ME","Maine","44.6647","-68.3584","56460"
"La Plata","La Plata","La Plata County","08067","CO","Colorado","37.2866","-107.8433","56331"
"Dickson","Dickson","Dickson County","47043","TN","Tennessee","36.1490","-87.3567","55983"
"Marion","Marion","Marion County","54049","WV","West Virginia","39.5100","-80.2434","55909"
"Campbell","Campbell","Campbell County","51031","VA","Virginia","37.2054","-79.0966","55312"
"Roane","Roane","Roane County","47145","TN","Tennessee","35.8479","-84.5232","55208"
"Eagle","Eagle","Eagle County","08037","CO","Colorado","39.6278","-106.6953","55135"
"Franklin","Franklin","Franklin County","51067","VA","Virginia","36.9920","-79.8811","55130"
"Watauga","Watauga","Watauga County","37189","NC","North Carolina","36.2311","-81.6964","55123"
"Whiteside","Whiteside","Whiteside County","17195","IL","Illinois","41.7562","-89.9141","54947"
"Coffee","Coffee","Coffee County","01031","AL","Alabama","31.4027","-85.9882","54920"
"Lenoir","Lenoir","Lenoir County","37107","NC","North Carolina","35.2388","-77.6413","54919"
"McMinn","McMinn","McMinn County","47107","TN","Tennessee","35.4247","-84.6175","54884"
"Seneca","Seneca","Seneca County","39147","OH","Ohio","41.1239","-83.1277","54770"
"Johnson","Johnson","Johnson County","29101","MO","Missouri","38.7441","-93.8064","54732"
"Navarro","Navarro","Navarro County","48349","TX","Texas","32.0470","-96.4725","54711"
"Madison","Madison","Madison County","16065","ID","Idaho","43.7841","-111.6592","54618"
"Jessamine","Jessamine","Jessamine County","21113","KY","Kentucky","37.8720","-84.5809","54588"
"Tuolumne","Tuolumne","Tuolumne County","06109","CA","California","38.0276","-119.9548","54498"
"Warren","Warren","Warren County","19181","IA","Iowa","41.3343","-93.5615","54409"
"Culpeper","Culpeper","Culpeper County","51047","VA","Virginia","38.4860","-77.9558","54397"
